name,url,slogan,rate
"The Newman Group, Inc.",/profile/newman-group,Public Relations Firm in New York, Undisclosed 
Resound Marketing,/profile/resound-marketing,Influence. Awareness. Credibility. Results.," $25 - $49 / hr
"
SunStar Strategic,/profile/sunstar-strategic,Strategic PR. Inspired Marketing, Undisclosed 
Cognito,/profile/cognito,"Expert in Finance:PR,Marketing & Comms Agency", Undisclosed 
Orr Group,/profile/orr-group,DC strategic fundraising firm, Undisclosed 
1Milk2Sugars Inc.,/profile/1milk2sugars,Canada/USA PR & Social Media Agency," $100 - $149 / hr
"
D & D PR,/profile/d-d-pr,"LUXURY TRAVEL, LIFESTYLE AND HOSPITALITY", Undisclosed 
Daddi Brand Communications,/profile/daddi-brand-communications,Communications Strategies in New York, Undisclosed 
Keith Sherman Associates Public Relations,/profile/keith-sherman-associates-public-relations,WE MAKE HEADLINES, Undisclosed 
Goldman Communications Group,/profile/goldman-communications-group,Award- Winning Public Relations Firm, Undisclosed 
Bayer Public Relations,/profile/bayer-public-relations,"Public Relations, Consulting and Marketing Agency", Undisclosed 
Polina Fashion PR,/profile/polina-fashion-pr,Discover Your Brand's Potential, Undisclosed 
BerlinRosen,/profile/berlinrosen,Public Relations and Communicaions, Undisclosed 
"Sharp Communications, Inc.",/profile/sharp-communications,"Public Relations, social media & design agency.", Undisclosed 
P R Consulting Inc,/profile/p-r-consulting,Public Relations & Communications Services, Undisclosed 
Alexander Marketing Corp.,/profile/alexander-marketing-corp,Public Relations with The Competitive Edge., Undisclosed 
Optimist Consulting,/profile/optimist-consulting,Luxury public relations and digital marketing, Undisclosed 
Kaplow,/profile/kaplow,Changing Conversations, Undisclosed 
DKC,/profile/dkc,"Creativity, experience and results."," $100 - $149 / hr
"
Ogilvy Public Relations London,/profile/ogilvy-public-relations-london,London Public Relations," $150 - $199 / hr
"
Health Unlimited,/profile/health-unlimited,HEALTH CONSULTANCY & COMMS AGENCY, Undisclosed 
Marino.,/profile/marino,Public Relations and Strategic Communications Firm, Undisclosed 
"LAK Public Relations, Inc.",/profile/lak-public-relations,COMMUNICATIONS IN FOCUS, Undisclosed 
KWT Global,/profile/kwt-global,Brand Strategy & Public Relations Agency, Undisclosed 
The PRMG,/profile/prmg,Full-service PR agency., Undisclosed 
Weber Shandwick Scotland,/profile/weber-shandwick-scotland,New York City Public Relations and Communications," $150 - $199 / hr
"
"The Worldcom Group, Inc.",/profile/worldcom-group,We deliver outstanding communications results, Undisclosed 
NKPR,/profile/nkpr,"Canada PR, Artist Management & Digital Agency"," $100 - $149 / hr
"
